Book_Title,Author,Average Rating,Total Rating,Total Score,People Voted
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.1,194411,"2,811",30
Sense and Sensibility,Jane Austen,4.08,1122228,"2,807",33
"Darkfever (Fever, #1)",Karen Marie Moning,4.06,174860,"2,717",30
Table 21,T. Rafael Cimino,3.66,430,"2,697",27
"If I Stay (If I Stay, #1)",Gayle Forman,3.92,852454,"2,686",33
The Odd and the Strange: A Collection of Very Short Fiction,Harvey Havel,4.31,1258,"2,681",29
The Book of Negroes,Lawrence Hill,4.45,83571,"2,663",30
"The Snowman (Harry Hole, #7)",Jo Nesbø,4.02,130074,"2,657",31
"Allegiant (Divergent, #3)",Veronica Roth,3.61,987610,"2,650",30
Les Misérables,Victor Hugo,4.2,763467,"2,617",32
After Forever Ends,Melodie Ramone,4.04,1519,"2,576",26
Back To You,Steve  Bates,4.25,3122,"2,575",28
"Karolina Dalca, Dark Eyes",M.R. Noble,4.27,9676,"2,574",29
Eye for Eye (Talion #1),J.K. Franko,4.29,4046,"2,566",29
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3625228,"2,565",33
"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.09,161218,"2,533",29
"Hometown Girl at Heart (Hometown, #1)",Kirsten Fullmer,4.29,4100,"2,524",28
Entwined,Heather Dixon Wallwork,3.86,35436,"2,517",30
Mindset: The New Psychology of Success,Carol S. Dweck,4.09,132813,"2,501",26
Emotional Intelligence 2.0,Travis Bradberry,3.84,78605,"2,500",25
"Magic Slays (Kate Daniels, #5)",Ilona Andrews,4.4,71875,"2,472",27
The Bone Church,Victoria Dougherty,3.77,565,"2,457",25
"A Trick of the Light (Chief Inspector Armand Gamache, #7)",Louise Penny,4.31,67219,"2,451",26
"Hex Hall (Hex Hall, #1)",Rachel Hawkins,3.93,139799,"2,420",28
In Our Bones,Pernell Plath Meier,4.21,1920,"2,411",26
And the Mountains Echoed,Khaled Hosseini,4.07,350660,"2,389",27
